"Timestamp","1. Gender ?","2. Age ?","3. What type of street food saw a decline due to hygiene concern during pandemic ?","4. To avoid crowded marketplaces, people often bought which staple food item in bulk?","5. Which regional cuisine gained attention as people explored diverse flavors at home?","6. Due to limited access to fresh vegetables, which type of preserved vegetable gained popularity?","7. Are you vaccinated with both doses?","8. To boost their immune systems, people consumed foods rich in which vitamin?","9. When COVID-19 cases are high, which factor is more likely to influence your choice?","10. How likely are you to choose online food ordering due to the convenience of contactless payments and delivery?","11. Are there any new recipes you've tried during the pandemic that you've really enjoyed ?","12. Which ingredient saw a surge in demand due to its immunity-boosting properties?","13. Which fruit was widely consumed for its vitamin C content during the pandemic ?"
"2023/08/09 2:08:34 PM GMT+5:30","Male","15 - 25","Pani Puri","Rice","South indian","Frozen vegetables","Yes","Vitamin C","Ordering online for contactless delivery","Somewhat likely; I consider it but not always","Yes","Fennel seeds","Orange"
"2023/08/09 2:20:31 PM GMT+5:30","Male","15 - 25","Pani Puri","Rice;Wheat flour","North indian","Frozen vegetables","Yes","","","Somewhat likely; I consider it but not always","Yes","Turmeric;Cumin seeds","Apple"
"2023/08/09 2:22:16 PM GMT+5:30","Female","25 - 35","Pani Puri","Potatoes","North indian","Pickle","Yes","Vitamin C","Prioritising takeout to minimize exposure","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 2:22:21 PM GMT+5:30","Female","15 - 25","Pani Puri","Rice;Wheat flour;Lentils;Potatoes","South indian","Dried vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Not very likely; I prefer paying in-person","Yes","Turmeric;Cumin seeds","Banana;Mango;Apple;Orange"
"2023/08/09 2:22:55 PM GMT+5:30","Female","15 - 25","Pani Puri","Potatoes","North indian","Frozen vegetables","Yes","Vitamin B12","Feeling comfortable with indoor dining precautions","Not likely at all; I rarely use contactless methods","Yes","Coriander leaves","Banana;Apple"
"2023/08/09 2:26:12 PM GMT+5:30","Female","25 - 35","Pani Puri;Samosa;Vada Pav","Rice;Wheat flour;Lentils","Continental ","Pickle","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Somewhat likely; I consider it but not always","Yes","Turmeric","Orange"
"2023/08/09 2:26:37 PM GMT+5:30","Female","25 - 35","Pani Puri;Samosa;Dosa;Vada Pav","Rice;Wheat flour;Lentils","","","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Somewhat likely; I consider it but not always","Yes","Turmeric","Orange"
"2023/08/09 2:28:54 PM GMT+5:30","Female","15 - 25","Pani Puri","Lentils","North indian","Frozen vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Turmeric;Fennel seeds","Orange"
"2023/08/09 2:29:25 PM GMT+5:30","Female","15 - 25","Vada Pav","Rice","Punjabi","Frozen vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 2:29:40 PM GMT+5:30","Female","25 - 35","Pani Puri;Samosa;Dosa;Vada Pav","Rice;Wheat flour;Lentils;Potatoes","North indian","Frozen vegetables","Yes","Vitamin B12","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
